resource,in_degree,out_degree,betweenness,closeness,eigenvector,events,cases,activities,events_per_case
10188,106,50,0.04712525255763683,0.5726495726495726,0.009814744476547878,267,87,2,3.0689655172413794
10910,1103,836,0.003983047607937862,0.7444444444444445,0.1275156997472578,2936,986,16,2.977687626774848
10929,768,663,0.004983575288032106,0.7613636363636364,0.09434284831138964,2155,675,16,3.1925925925925926
10931,388,341,0.017606147078770593,0.7528089887640449,0.04552124110590211,1097,367,15,2.989100817438692
11259,1258,1247,0.023281162496685912,0.8271604938271605,0.1626983904319956,2237,1094,13,2.0447897623400366
11200,343,238,0.031012258529072145,0.6907216494845361,0.04113139673931454,1486,341,10,4.357771260997067
10779,27,10,0.03372434258289076,0.5537190082644629,0.003176885802793126,75,26,17,2.8846153846153846
10880,228,142,0.043228754926169566,0.6203703703703703,0.027349366846875632,660,226,9,2.920353982300885
10914,137,125,0.027697981316979977,0.6442307692307693,0.01889325082120018,243,135,15,1.8
10859,137,77,0.04629928063178138,0.5726495726495726,0.016398772010163695,338,136,10,2.485294117647059
11339,14,4,0.0049787123023215295,0.5075757575757576,0.0013712991541222671,60,13,14,4.615384615384615
10933,460,406,0.013323137905806118,0.6836734693877551,0.050799595685089814,1100,405,13,2.7160493827160495
11079,16,16,0.04383327459922371,0.5403225806451613,0.0016944175217349822,20,16,5,1.25
10932,1120,957,0.002729376305180438,0.8271604938271605,0.13119227445186815,2629,1000,15,2.629
10935,286,238,0.01457384241102331,0.7282608695652174,0.03394572612908821,584,265,14,2.2037735849056603
11254,2,2,0.005062962920732894,0.475177304964539,0.000392873201081602,3,2,1,1.5
11003,957,816,0.019885750019439857,0.8271604938271605,0.114413284676372,2203,861,15,2.5586527293844368
11269,3,3,0.01114626223523582,0.49264705882352944,0.0005095494943194548,3,3,3,1.0
10821,1,1,0.0005323311293460547,0.432258064516129,8.221712110107498e-05,1,1,1,1.0
11289,460,331,0.0386316145397742,0.6907216494845361,0.05516039268107874,1199,282,18,4.25177304964539
10125,1,1,0.0,0.42948717948717946,0.00012147334166217667,2,1,1,2.0
11299,318,282,0.02646551200541732,0.6633663366336634,0.04033157385814724,469,278,15,1.6870503597122302
10124,4,4,0.010731356185901642,0.4962962962962963,0.00039746587571760347,5,4,4,1.25
11309,252,212,0.013290578168561249,0.6261682242990654,0.026102384677774097,427,229,12,1.8646288209606987
11300,297,225,0.005501100642572427,0.638095238095238,0.03298845979651833,596,263,12,2.2661596958174903
11302,301,275,0.01899695141387573,0.6261682242990654,0.03207854515052376,591,262,14,2.2557251908396947
11319,232,193,0.01116774522483278,0.6203703703703703,0.02858482157213885,446,204,13,2.1862745098039214
11304,12,12,0.005159770554055812,0.5,0.000875584794287399,19,10,1,1.9
